time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-09-04T17:56:45.270Z,35.1166667,-119.0341667,12.82,3.39,ml,76,25,0.0708,0.26,ci,ci39658306,2023-10-12T12:42:22.040Z,"19 km SW of Lamont, CA",earthquake,0.2,0.67,0.123,102,reviewed,ci,ci
2023-09-04T19:59:59.891Z,31.65367085,-104.4579551,6.799975586,2.6,ml,67,85,0.02224999176,0.3,tx,tx2023rizj,2023-10-05T13:28:52.040Z,"58 km S of Whites City, New Mexico",earthquake,0.9279802486,0.7049778981,0.1,41,reviewed,tx,tx
2023-09-04T23:20:05.039Z,31.66799545,-104.4467889,5.874487305,2.5,ml,31,63,0.0172609427,0.2,tx,tx2023rjfy,2023-10-03T05:09:55.040Z,"",earthquake,0.9365696035,0.5021549433,0.1,19,reviewed,tx,tx
2023-09-05T10:21:41.860Z,40.124,-123.0593333,42.78,2.5,md,53,27,0.09294,0.15,nc,nc73933326,2023-09-06T09:00:39.040Z,"40 km NNE of Covelo, CA",earthquake,0.34,0.56,0.23,55,reviewed,nc,nc
2023-09-05T11:15:27.700Z,33.931,-116.637,12.07,2.76,ml,107,24,0.04935,0.14,ci,ci39658594,2023-10-04T20:56:14.040Z,"9 km WNW of Garnet, CA",earthquake,0.09,0.29,0.154,24,reviewed,ci,ci
2023-09-05T14:43:12.060Z,33.7431667,-120.0468333,11.17,3.18,ml,28,245,0.2365,0.2,ci,ci39658674,2023-09-12T21:09:55.040Z,"23 km SSE of Santa Rosa Is., CA",earthquake,0.5,0.69,0.161,48,reviewed,ci,ci
2023-09-05T16:01:20.919Z,31.74703215,-104.1719732,6.671435547,2.6,ml,25,52,0.07092062512,0.1,tx,tx2023rkmz,2023-10-15T14:44:55.040Z,"51 km SSE of Whites City, New Mexico",earthquake,0.5370226012,1.037233638,0.2,15,reviewed,tx,tx
2023-09-05T20:27:18.320Z,40.2316667,-121.1555,1.28,2.59,md,58,33,0.2397,0.16,nc,nc73933496,2023-11-04T14:19:16.040Z,"2 km NE of Almanor, CA",earthquake,0.18,1.5,0.172,68,reviewed,nc,nc
2023-09-06T04:30:49.960Z,31.73209265,-104.094982,6.632873535,2.8,ml,36,66,0.03134506905,0.2,tx,tx2023rlls,2023-10-05T05:16:23.040Z,"western Texas",earthquake,0.4161967978,0.4488458372,0.2,18,reviewed,tx,tx
2023-09-06T10:47:36.533Z,37.5145,-104.7414,9.402,2.6,ml,17,68,0.393,0.33,us,us7000ktm9,2023-09-21T06:32:27.040Z,"",earthquake,1.6,8.494,0.077,22,reviewed,us,us
2023-09-06T19:54:12.182Z,44.6605,-114.4085,16.61,3.2,ml,50,55,0.542,0.54,us,us7000ktrd,2023-09-12T21:42:38.642Z,"22 km NW of Challis, Idaho",earthquake,1.37,7.298,0.038,93,reviewed,us,us
2023-09-07T14:25:05.480Z,38.5063333,-119.5181667,4.03,2.81,md,18,99,0.03121,0.06,nc,nc73934201,2023-10-13T18:54:40.040Z,"4 km WSW of Walker, CA",earthquake,0.28,0.42,0.194,46,reviewed,nc,nc
2023-09-07T17:42:47.600Z,39.992,-123.7978333,1.21,2.93,md,41,98,0.1134,0.17,nc,nc73934281,2023-10-13T13:18:43.040Z,"14 km S of Redway, CA",earthquake,0.26,1.17,0.155,66,reviewed,nc,nc
2023-09-08T01:35:32.940Z,31.94000244,-102.0399438,7.996704102,3.2,ml,25,70,0.09115416927,0.1,tx,tx2023rowx,2023-09-30T00:36:38.040Z,"7 km SSE of Midland, Texas",earthquake,0.5948393292000002,1.336604543,0.1,7,reviewed,tx,tx
2023-09-08T05:59:23.360Z,33.233,-116.7775,11.95,2.82,ml,140,12,0.01599,0.21,ci,ci39661050,2023-09-26T04:29:58.040Z,"2 km SW of Lake Henshaw, CA",earthquake,0.1,0.33,0.149,175,reviewed,ci,ci
2023-09-08T17:24:38.390Z,40.953,-121.56,15.63,4.99,mw,41,33,0.08699,0.12,nc,nc73934641,2023-11-10T17:34:45.956Z,"12 km NE of Burney, CA",earthquake,0.2,0.56,,4,reviewed,nc,nc
2023-09-08T17:25:05.950Z,40.9618333,-121.5705,12.44,4.33,ml,15,90,0.07524,0.05,nc,nc71131324,2023-10-04T21:22:32.680Z,"12 km NE of Burney, CA",earthquake,0.23,0.42,0.009,4,reviewed,nc,nc
2023-09-08T22:17:13.300Z,40.959,-121.5696667,13.29,2.8,md,34,38,0.09745,0.09,nc,nc73934836,2023-10-20T01:44:46.040Z,"12 km NE of Burney, CA",earthquake,0.19,0.56,0.161,66,reviewed,nc,nc
2023-09-08T22:51:47.460Z,40.9661667,-121.558,13.6,2.74,md,38,37,0.09799,0.1,nc,nc73934851,2023-11-06T04:01:01.040Z,"11 km WSW of Fall River Mills, CA",earthquake,0.18,0.71,0.127,53,reviewed,nc,nc
2023-09-08T23:40:28.210Z,34.0328333,-116.9541667,6.9,3.06,ml,138,19,0.06244,0.16,ci,ci39661746,2023-10-20T01:57:24.040Z,"8 km E of Yucaipa, CA",earthquake,0.08,0.36,0.17,217,reviewed,ci,ci
2023-09-09T21:35:57.200Z,32.0403333,-116.2108333,16.18,2.91,ml,30,84,0.2261,0.23,ci,ci39662050,2023-09-11T04:43:45.040Z,"43 km ENE of Ensenada, B.C., MX",earthquake,0.31,1.25,0.163,71,reviewed,ci,ci
2023-09-09T23:49:39.341Z,31.73471451,-104.0999797,7.416967772999999,2.6,ml,18,33,0.03624879931,0.1,tx,tx2023rskl,2023-10-13T22:34:28.040Z,"47 km W of Mentone, Texas",earthquake,0.6052179156,0.6946856061999999,0.1,18,reviewed,tx,tx
2023-09-10T04:11:00.950Z,38.5985,-87.9445,21.39,2.73,md,27,70,0.1814,0.3,nm,nm60550471,2023-10-09T22:25:56.684Z,"9 km E of Parkersburg, Illinois",earthquake,0.5,0.85,0.117969152700941,15,reviewed,nm,nm
2023-09-10T07:44:14.520Z,29.04693604,-97.83467371,5.942504883,2.8,ml,19,72,0.0841410546,0.3,tx,tx2023rtac,2023-10-06T11:39:31.040Z,"19 km NNE of Karnes City, Texas",earthquake,1.234025349,2.164299339,0.2,9,reviewed,tx,tx
2023-09-10T10:28:30.140Z,44.7615,-110.9393333,10.5,2.75,ml,22,101,0.04766,0.17,uu,uu60549792,2023-09-18T04:33:28.040Z,"17 km NE of West Yellowstone, Montana",earthquake,0.4,0.65,0.141,7,reviewed,uu,uu
2023-09-10T14:28:43.200Z,33.2341667,-116.7765,11.77,2.71,ml,102,13,0.01498,0.2,ci,ci39662258,2023-09-30T13:32:46.040Z,"2 km SW of Lake Henshaw, CA",earthquake,0.13,0.47,0.172,117,reviewed,ci,ci
