date,Midwest,National,Northeast,South,West,date_period
2022-03-05,,1.7475103377485617,,1.3549409284028244,2.5908626516851485,All Results
2022-03-12,,2.675693408084616,,1.4165577100063698,2.9131958320164335,All Results
2022-03-19,,1.5474885923274455,,1.130758149904982,1.675283759153643,All Results
2022-03-26,,2.055720070472593,,3.9231075659694787,1.9346082642356723,All Results
2022-04-02,,1.6885380112940913,,1.6414683260623795,1.735607696525803,All Results
2022-04-09,,2.1742838341071806,,1.5925606306818119,2.339779346685215,All Results
2022-04-16,,1.8413286484545477,,1.4074239331940275,2.2017365705505694,All Results
2022-04-23,7.456311707219384,1.3483509328559706,,1.2038815581467808,1.3976302139109713,All Results
2022-04-30,4.699526892586786,1.3379501606845956,,1.248256862066513,1.3133719106264197,All Results
2022-05-07,2.1939449013224612,1.4054487457710798,,2.213774693617851,1.02337523588876,All Results
2022-05-14,2.6395301629348356,1.603770824840521,,2.6272930987891,1.404052497833363,All Results
2022-05-21,1.523145808290172,1.6151331114041896,,1.7238064838436258,1.3530934485015855,All Results
2022-05-28,1.4909256039014742,1.6338412901054307,,2.4276085344514744,1.5980644511569917,All Results
2022-06-04,1.0046733115906423,1.408348613319625,,5.224600233018881,1.304159764592994,All Results
2022-06-11,0.973763947522453,1.5434394194870125,,6.650923308507958,1.3148740324694157,All Results
2022-06-18,0.8832870291668794,1.2149154626775658,,3.33961426426451,1.2005253184049844,All Results
2022-06-25,1.0477725580935375,1.3310194816554493,,2.5063951511998743,1.3317717640176578,All Results
2022-07-02,1.8086762105440948,1.379757876995332,,3.2656362798814316,1.2442884302652466,All Results
2022-07-09,1.6602487874671303,1.6181547755327754,,4.889699145321882,1.4904280043213236,All Results
2022-07-16,1.2288993273104833,2.6208095995732816,,6.899645583451104,1.3178248801252666,All Results
2022-07-23,2.2782237042639117,2.0992276947923925,,3.7962473681412043,1.2658297899360809,All Results
2022-07-30,1.3184447790625762,1.6896104052189551,,3.082247214889569,1.6896104052189551,All Results
2022-08-06,1.5432430534896904,1.4054018676410756,2.5444295098770953,3.1763983652282057,1.1254422072349564,All Results
2022-08-13,2.227721558683385,1.4742086085209218,3.092350051709369,1.9326653375332128,1.374928732448398,All Results
2022-08-20,2.6772574795689947,1.9237553861679402,2.3234210966894278,5.299499119809991,1.5807719236565074,All Results
2022-08-27,2.2459750305475423,2.6777676499630068,3.5776423220748423,8.000398470004754,2.108492076415407,All Results
2022-09-03,2.0098682272334982,1.6819782195709667,2.534327592334763,6.856519704987442,1.0856851952454023,All Results
2022-09-10,3.9445583194788516,1.6365202489964048,4.314434774408644,4.047497875702397,1.0932440375081067,All Results
2022-09-17,4.777028045244008,2.7788476917752494,2.3209286389498636,4.9612522253359685,1.358910033206172,All Results
2022-09-24,5.579833052034854,3.415337411100081,4.809098546192238,4.325437877449178,1.4650795670981622,All Results
2022-10-01,4.855866526400565,3.063716593084843,5.132452963717157,7.0280367351773005,1.9859157080042797,All Results
2022-10-08,4.350497036950614,3.7542176650378307,5.340518945858676,5.613014514055813,2.7614337709265864,All Results
2022-10-15,4.675875457493486,6.144310276974676,8.287580296694221,6.17574151124356,6.097735735580563,All Results
2022-10-22,4.162465176566722,5.997087003256638,9.611905091332462,6.80705160599948,5.0001498690858925,All Results
2022-10-29,6.9378556039273525,8.057565112676931,10.222280230779521,7.053864882553894,8.09420382029756,All Results
2022-11-05,8.643754406068942,8.473540820644175,13.332623971930818,8.248896095247913,8.050163017475098,All Results
2022-11-12,11.607854304844885,10.913088194707509,12.981677871885413,7.597278307107263,11.195951673245489,All Results
2022-11-19,9.078836860825643,12.278243030850897,14.6586796823436,9.242190484315003,13.197401758568223,All Results
2022-11-26,10.694056423978786,11.445844123989637,15.86594348238791,11.601634534697256,10.5658039927109,All Results
2022-12-03,14.554436713539129,13.67478625140852,15.40699593926659,8.174799672659105,17.27732832671851,All Results
2022-12-10,11.297450165477272,12.847090162292838,13.262620401834589,11.454046463627783,13.689242168635175,All Results
2022-12-17,11.765557982649376,11.835450502475403,11.352594698189726,10.992465712030523,12.03205661149045,All Results
2022-12-24,9.116557459382598,10.555905873550557,11.022895792731262,11.31423984324207,11.710678868118277,All Results
2022-12-31,7.991110424469195,9.44203020436971,9.775431860636818,10.298771794404333,9.800616309628213,All Results
2023-01-07,7.2303216345927765,8.601424991725512,9.975037191136114,7.510544649768237,10.379158335833596,All Results
2023-01-14,7.050007413346095,8.080378900127428,9.243805557172777,6.484698344893256,9.280523188138353,All Results
2023-01-21,6.19725477545637,6.394112635133377,5.484335628234252,5.0873994937884035,8.724341840620617,All Results
2023-01-28,4.372879702551992,5.450471265671395,5.802422501646377,4.804630451017162,6.726325223401321,All Results
2023-02-04,3.9095219051905423,4.596671451155856,4.92677539730301,3.492352549828987,6.06542944249852,All Results
2023-02-11,4.111982935954425,4.640036039192706,3.9249168617913623,3.864282565478831,5.852371368207945,All Results
2023-02-18,4.597628916845259,4.606170781627284,4.723047307812709,2.874804072419671,5.351629485998638,All Results
2023-02-25,3.3651022690130112,3.855510879469746,3.9362062091661563,2.2789315371656484,5.093386079070537,All Results
2023-03-04,3.4066910020440555,3.3148858132200267,3.195568317061261,2.0905101996509963,4.717249133132588,All Results
2023-03-11,3.017709697257796,2.9901095135945055,3.424697281051291,1.7777406803067353,3.415282984822807,All Results
2023-03-18,2.125723447890337,2.481147275203753,3.320895783680351,1.444183155850036,3.391494502264963,All Results
2023-03-25,1.9785801638602805,2.0409383280119258,2.1329436549742566,1.735109068085382,2.38491465815817,All Results
