date,Midwest,National,Northeast,South,West,date_period
2022-01-01,16.23587457814012,17.028954381412948,21.021465107817644,14.624984507067124,17.684221687314256,All Results
2022-01-08,19.733570197429813,23.70166015866247,22.291833888036898,25.2836097667701,35.76881327074638,All Results
2022-01-15,18.035032513236438,23.426396105985575,28.580094855465855,23.650532479389632,35.22107534621942,All Results
2022-01-22,16.948687583412394,19.48040147354832,24.278390940199497,16.77290240066479,36.7267306057539,All Results
2022-01-29,11.881812339253155,13.918129857586425,13.403670849982298,12.534998283904217,23.270745073935714,All Results
2022-02-05,8.364985972675914,9.267654965139961,9.154445063144792,8.966078897333833,12.55562343098518,All Results
2022-02-12,5.583365205809745,5.946715921601042,6.875762636729977,5.23501840475593,6.650180100354854,All Results
2022-02-19,4.017602916310168,3.9455896533287893,4.721872547244839,3.8037220393231883,3.684835593871261,All Results
2022-02-26,2.5793167221639823,2.571802752032108,3.4244122053087143,2.381262399862121,2.3255895467359906,All Results
2022-03-05,1.8637730009487308,1.7363314626953539,2.413702840741707,1.344798867516497,1.4006695824646844,All Results
2022-03-12,1.7601695918582578,1.4736183011626238,1.5996897797846095,1.2274758558551624,1.0474342024050538,All Results
2022-03-19,1.3634828723887826,1.1999209455446675,1.377035342478158,1.0366755022513607,0.880701511333042,All Results
2022-03-26,1.5003239241835122,1.254370318710611,3.6866276892497423,0.9984690954273481,0.879193310549361,All Results
2022-04-02,1.2316667515426423,1.2316667515426423,4.531248281159188,1.1257860664621464,1.0621603542942326,All Results
2022-04-09,1.4886774127172715,1.5718074744175097,6.267133922812533,1.4473790426520172,1.3058019974066621,All Results
2022-04-16,2.1005159966801794,2.100469400865809,5.225776156167477,1.778641855841579,1.8822850282826071,All Results
2022-04-23,2.9854804444478322,3.200765226891959,7.544533584664063,2.8996697023008897,2.9938526067436806,All Results
2022-04-30,4.324033730927657,3.879797594528772,9.198803989679016,2.9358181627502553,2.6500230530008024,All Results
2022-05-07,5.195443161774301,4.942884814630867,9.017534274787259,3.9641626999998043,4.077821102708457,All Results
2022-05-14,6.5159526084217925,5.788792070026383,5.775773654584254,4.879189803756914,5.219059012957839,All Results
2022-05-21,6.868693494353866,6.686787675266993,7.281913030231275,6.104015818262104,6.056271954594809,All Results
2022-05-28,7.406295669285976,7.186585351964393,6.617413716863831,6.867647933062809,8.454304847964869,All Results
2022-06-04,6.882122310131369,7.188061958858602,4.419682899139588,6.7495195344833245,10.22745589260704,All Results
2022-06-11,6.723923588393943,6.83305746708665,3.038041052210632,6.447990560040877,9.896627848607235,All Results
2022-06-18,6.379500096977927,6.673634235374695,4.455739223728285,5.826518686057539,9.599515245154288,All Results
2022-06-25,6.818424335755163,7.133282654439609,3.236351498834382,6.089863421202109,11.056281155847817,All Results
2022-07-02,7.540312261880711,7.887318534941848,4.316629967545604,6.175054753390774,12.186937980852372,All Results
2022-07-09,9.487531436224664,9.272788031255578,5.080298087161966,8.084171659337876,12.488354330632232,All Results
2022-07-16,8.694269987689653,8.860525434295685,5.758972929322409,8.797895643829845,11.012231177884459,All Results
2022-07-23,9.6454070395121,9.536430304678909,6.842072021401501,9.207799651342757,11.144027635059427,All Results
2022-07-30,10.173756565623222,8.857882889406902,5.125393164811783,8.682046832124158,9.386507826756008,All Results
2022-08-06,9.878898380970458,7.900330285935948,5.278755332183917,8.384014912331704,7.215589693264448,All Results
2022-08-13,9.153607786873287,7.207669562450935,6.245069187019014,7.07894223114326,6.22313139520542,All Results
2022-08-20,8.432088112170915,6.766628897076612,5.8834208234251255,6.402123926609308,5.648682682835862,All Results
2022-08-27,7.906733679499281,6.529588356944103,6.0257327577063675,6.4531173147491465,5.378881286405679,All Results
2022-09-03,6.525431206873185,5.824457541847335,5.4261708956783075,6.0035923743869954,4.8245392617853,All Results
2022-09-10,6.322071720518519,5.537035790282546,6.042742334017712,5.846062654167547,4.4930967097326775,All Results
2022-09-17,5.733579277286517,5.124635835382729,6.6480713756678105,4.647879224192706,4.401908250262399,All Results
2022-09-24,4.274949412335341,4.583735347130733,4.738402720899522,4.46439751063697,4.92840875853566,All Results
2022-10-01,3.6427731996149273,3.6839069176457198,6.408322126385128,2.3036873198241588,3.8842685277750895,All Results
2022-10-08,4.05265539662889,3.434109755442541,5.053275952713823,2.0301634535251996,3.666465045514422,All Results
2022-10-15,3.727284197743006,3.3607412466165636,6.05810684422041,2.04591717330419,3.230866637814241,All Results
2022-10-22,4.420084737158697,3.426748947450511,4.221633156269317,2.1921267929896775,3.3549044645046324,All Results
2022-10-29,5.076616647349763,4.0370999971102,4.861916069042833,2.7350031459492,3.6202432527894586,All Results
2022-11-05,5.34646728798022,4.080007235113554,4.124014190983107,2.583491823166405,4.4559701373113265,All Results
2022-11-12,5.107143588701027,4.163236354604052,3.217263071062295,2.338726371683932,5.27952797809713,All Results
2022-11-19,5.316113118301276,4.614290223026615,3.9803300136823605,2.6866626893816674,7.310641915649062,All Results
2022-11-26,6.851350228734539,5.376710660934134,3.966498844075337,3.200479107965515,8.20099838777744,All Results
2022-12-03,9.4247338421112,8.60159408859921,6.650432755177235,6.98428128219101,11.768187568160435,All Results
2022-12-10,9.547551335509699,8.549370692544679,8.407031477803127,6.408948794133196,10.495366480896603,All Results
2022-12-17,10.928578369139139,9.102218363630442,8.52114638292941,7.565308154135934,9.272433546279975,All Results
2022-12-24,9.97770162459274,9.487592958599583,8.496145106537032,9.927436533988631,8.946979440274127,All Results
2022-12-31,11.111670057155402,10.895323524386345,10.268277731748736,13.198516143168327,9.129335117050656,All Results
2023-01-07,7.28517219009526,8.2823637529747,7.660540660757979,10.882172003063346,8.003067481317663,All Results
2023-01-14,5.361127408262954,5.966228743716431,5.7563168879516695,7.411134340754146,5.6216263527024255,All Results
2023-01-21,5.118597998666662,5.704571080420859,6.517932818492939,6.753790475555934,4.941038685922168,All Results
2023-01-28,5.733082233508087,5.82709838374693,6.939568542768418,6.855175892172792,4.685367962042989,All Results
2023-02-04,5.628329460298515,6.20678734703094,6.525815735044469,7.023358235953131,6.251850084964107,All Results
2023-02-11,5.967880468113252,6.078945073840021,4.750881194095492,6.8454096385032885,6.729745414071333,All Results
2023-02-18,6.927079409044913,6.258971551990211,5.448054849408595,5.455900779341288,7.0919313267645245,All Results
2023-02-25,6.4376458744194105,5.8082152797326305,5.670452821510221,4.127650095843672,7.059459761621152,All Results
2023-03-04,5.707473540244129,5.1386066304909725,3.8703402608566075,3.8015836159964507,6.095056497846111,All Results
