date,Midwest,National,Northeast,South,West
2022-03-05,,1.7475103377485600,,1.3549409284028200,2.5908626516851500
2022-03-12,,2.675693408084620,,1.4165577100063700,2.9131958320164300
2022-03-19,,1.5474885923274500,,1.130758149904980,1.675283759153640
2022-03-26,,2.055720070472590,,3.9231075659694800,1.9346082642356700
2022-04-02,,1.6885380112940900,,1.6414683260623800,1.735607696525800
2022-04-09,,2.1742838341071800,,1.5925606306818100,2.3397793466852100
2022-04-16,,1.8413286484545500,,1.4074239331940300,2.2017365705505700
2022-04-23,7.456311707219380,1.3483509328559700,,1.2038815581467800,1.3976302139109700
2022-04-30,4.699526892586790,1.3379501606846000,,1.248256862066510,1.3133719106264200
2022-05-07,2.1939449013224600,1.4054487457710800,,2.213774693617850,1.02337523588876
2022-05-14,2.6395301629348400,1.603770824840520,,2.6272930987891,1.404052497833360
2022-05-21,1.523145808290170,1.6151331114041900,,1.7238064838436300,1.3530934485015900
2022-05-28,1.4909256039014700,1.6338412901054300,,2.4276085344514700,1.598064451156990
2022-06-04,1.0046733115906400,1.408348613319630,,5.224600233018880,1.304159764592990
2022-06-11,0.973763947522453,1.5434394194870100,,6.650923308507960,1.3148740324694200
2022-06-18,0.8832870291668790,1.2149154626775700,,3.33961426426451,1.2005253184049800
2022-06-25,1.0477725580935400,1.3310194816554500,,2.5063951511998700,1.3317717640176600
2022-07-02,1.8086762105440900,1.379757876995330,,3.2656362798814300,1.2442884302652500
2022-07-09,1.6602487874671300,1.6181547755327800,,4.889699145321880,1.4904280043213200
2022-07-16,1.2288993273104800,2.6208095995732800,,6.899645583451100,1.3178248801252700
2022-07-23,2.278223704263910,2.099227694792390,,3.7962473681412000,1.2658297899360800
2022-07-30,1.3184447790625800,1.6896104052189600,,3.082247214889570,1.6896104052189600
2022-08-06,1.5432430534896900,1.4054018676410800,2.5444295098771000,3.1763983652282100,1.1254422072349600
2022-08-13,2.227721558683390,1.4742086085209200,3.092350051709370,1.9326653375332100,1.374928732448400
2022-08-20,2.6772574795689900,1.913578539920120,2.3234210966894300,3.936656629274410,1.5807719236565100
2022-08-27,2.245975030547540,2.6663070187225900,3.5776423220748400,3.966403830349760,2.108492076415410
2022-09-03,2.0098682272335000,1.972766042521790,2.5343275923347600,5.6545008735600700,1.1667672759557700
2022-09-10,3.9445583194788500,1.7643639384689900,4.314434774408640,4.832771288273910,1.1509891779863700
2022-09-17,4.777028045244010,2.7788476917752500,2.3209286389498600,5.11632012357973,1.50455223539593
2022-09-24,5.579833052034850,3.537481678173070,4.809098546192240,5.881918586497500,1.551057369944390
2022-10-01,4.855866526400570,3.0649186904090900,5.132452963717160,7.218467469927800,1.6061018363107600
2022-10-08,4.350497036950610,3.7542176650378300,5.340518945858680,6.799762027555370,2.2390052021961900
2022-10-15,4.675875457493490,6.332203992963100,8.287580296694220,8.237845696713620,6.097735735580560
2022-10-22,4.162465176566720,6.614310015588090,9.611905091332460,7.799009002482270,4.248331179620950
2022-10-29,6.9378556039273500,8.16865725736274,10.22228023077950,9.546389993879270,8.09420382029756
2022-11-05,8.643754406068940,9.007387777873200,13.332623971930800,9.988080199853010,8.313462176105830
2022-11-12,11.607854304844900,10.830822477006900,12.981677871885400,8.981469730349580,10.62178208529010
2022-11-19,9.078836860825640,12.278243030850900,14.6586796823436,10.79668991415420,13.143541128139600
2022-11-26,10.694056423978800,11.572523574519500,15.86594348238790,11.08517649865610,11.336168681596300
2022-12-03,14.554436713539100,13.388092935952200,15.406995939266600,7.985403707751040,17.42436146991480
2022-12-10,11.297450165477300,11.83463094546320,13.262620401834600,9.80749006773682,13.183507354755600
2022-12-17,11.765557982649400,11.637285189056900,11.352594698189700,8.244896221942190,12.701544724065700
2022-12-24,9.116557459382600,10.311835413726400,11.022895792731300,9.198673685433400,11.743095752780200
2022-12-31,7.991110424469200,9.648613240392080,9.775431860636820,8.791037342431440,11.684549695826700
2023-01-07,7.2303216345927800,8.485501828267780,9.975037191136110,7.042837400156810,11.063355202481800
2023-01-14,7.050007413346100,7.826710773989340,9.243805557172780,5.120656555291710,9.498696724431900
2023-01-21,6.19725477545637,6.321951214307650,5.484335628234250,3.691879271829570,9.112442164391440
2023-01-28,4.372879702551990,5.3885419971417000,5.802422501646380,3.5778025499509100,6.805711308676230
2023-02-04,3.9095219051905400,4.556415554838870,4.92677539730301,3.0408798346137100,6.220937739606190
