Gene,Gene_Symbol,Sample,Sample_Type,Expression
213187_x_at,FTL,GSM398135,Cancer,4126.17
213187_x_at,FTL,GSM398136,Normal,5563.58
213187_x_at,FTL,GSM398137,Cancer,6562.19
213187_x_at,FTL,GSM398138,Normal,3896.5
213187_x_at,FTL,GSM398139,Cancer,3159.25
213187_x_at,FTL,GSM398140,Normal,5795.06
213187_x_at,FTL,GSM398141,Cancer,2854.29
213187_x_at,FTL,GSM398142,Normal,6252.86
213187_x_at,FTL,GSM398143,Cancer,4440.31
213187_x_at,FTL,GSM398144,Normal,8418.93
213187_x_at,FTL,GSM398145,Cancer,3451.13
213187_x_at,FTL,GSM398146,Normal,6870.02
213187_x_at,FTL,GSM398147,Cancer,5150.33
213187_x_at,FTL,GSM398148,Normal,8292.33
213187_x_at,FTL,GSM398149,Cancer,5508.79
213187_x_at,FTL,GSM398150,Normal,4526.71
213187_x_at,FTL,GSM398151,Cancer,2620.27
213187_x_at,FTL,GSM398152,Normal,5050.01
213187_x_at,FTL,GSM398153,Cancer,2994.61
213187_x_at,FTL,GSM398154,Normal,2947.28
213187_x_at,FTL,GSM398155,Cancer,873.006
213187_x_at,FTL,GSM398156,Normal,6320.73
213187_x_at,FTL,GSM398157,Cancer,2794.7
213187_x_at,FTL,GSM398158,Normal,4558.13
213187_x_at,FTL,GSM398159,Cancer,4000.95
213738_s_at,ATP5F1A,GSM398074,Normal,1990.84
213738_s_at,ATP5F1A,GSM398075,Cancer,4298.51
213738_s_at,ATP5F1A,GSM398076,Normal,2101.73
213738_s_at,ATP5F1A,GSM398077,Cancer,4671.55
213738_s_at,ATP5F1A,GSM398078,Normal,2283.01
213738_s_at,ATP5F1A,GSM398079,Cancer,2971.63
213738_s_at,ATP5F1A,GSM398080,Normal,2039.5
213738_s_at,ATP5F1A,GSM398081,Cancer,3881.1
213738_s_at,ATP5F1A,GSM398082,Normal,4896.15
213738_s_at,ATP5F1A,GSM398083,Cancer,2065.17
213738_s_at,ATP5F1A,GSM398084,Normal,3951.09
213738_s_at,ATP5F1A,GSM398085,Cancer,2821.31
213738_s_at,ATP5F1A,GSM398086,Normal,5134.49
213738_s_at,ATP5F1A,GSM398087,Cancer,4624.75
213738_s_at,ATP5F1A,GSM398088,Normal,2984.32
213738_s_at,ATP5F1A,GSM398089,Cancer,4729.24
213738_s_at,ATP5F1A,GSM398090,Normal,2002.95
213738_s_at,ATP5F1A,GSM398091,Cancer,3141.63
213738_s_at,ATP5F1A,GSM398092,Normal,2802.24
213738_s_at,ATP5F1A,GSM398093,Cancer,4900.7
213738_s_at,ATP5F1A,GSM398094,Normal,3322.06
213738_s_at,ATP5F1A,GSM398095,Cancer,3587.81
213738_s_at,ATP5F1A,GSM398096,Normal,4845.58
213738_s_at,ATP5F1A,GSM398097,Cancer,1923.4
213738_s_at,ATP5F1A,GSM398098,Normal,3757.0
213738_s_at,ATP5F1A,GSM398099,Cancer,3694.33
213738_s_at,ATP5F1A,GSM398100,Normal,1934.57
213738_s_at,ATP5F1A,GSM398101,Cancer,4904.29
213738_s_at,ATP5F1A,GSM398102,Normal,3269.44
213738_s_at,ATP5F1A,GSM398103,Cancer,4040.76
213738_s_at,ATP5F1A,GSM398104,Normal,8193.94
213738_s_at,ATP5F1A,GSM398105,Cancer,3233.34
213738_s_at,ATP5F1A,GSM398106,Normal,6868.8
213738_s_at,ATP5F1A,GSM398107,Cancer,3457.23
213738_s_at,ATP5F1A,GSM398108,Normal,7115.66
213738_s_at,ATP5F1A,GSM398109,Cancer,3382.32
213738_s_at,ATP5F1A,GSM398110,Normal,8760.22
213738_s_at,ATP5F1A,GSM398111,Cancer,2744.15
213738_s_at,ATP5F1A,GSM398112,Normal,4481.67
213738_s_at,ATP5F1A,GSM398113,Cancer,3796.48
213738_s_at,ATP5F1A,GSM398114,Normal,4642.63
213738_s_at,ATP5F1A,GSM398115,Cancer,3734.39
213738_s_at,ATP5F1A,GSM398116,Normal,7382.61
213738_s_at,ATP5F1A,GSM398117,Cancer,7710.44
213738_s_at,ATP5F1A,GSM398118,Normal,6596.87
213738_s_at,ATP5F1A,GSM398119,Cancer,7390.27
213738_s_at,ATP5F1A,GSM398120,Normal,4533.56
213738_s_at,ATP5F1A,GSM398121,Cancer,4184.77
213738_s_at,ATP5F1A,GSM398122,Normal,3675.26
213738_s_at,ATP5F1A,GSM398123,Cancer,3161.78
213738_s_at,ATP5F1A,GSM398124,Normal,6364.27
213738_s_at,ATP5F1A,GSM398125,Cancer,6276.85
213738_s_at,ATP5F1A,GSM398126,Normal,8520.64
213738_s_at,ATP5F1A,GSM398127,Cancer,9557.73
213738_s_at,ATP5F1A,GSM398128,Normal,9205.8
213738_s_at,ATP5F1A,GSM398129,Cancer,6935.06
213738_s_at,ATP5F1A,GSM398130,Normal,8342.81
213738_s_at,ATP5F1A,GSM398131,Cancer,6942.51
213738_s_at,ATP5F1A,GSM398132,Normal,4392.83
213738_s_at,ATP5F1A,GSM398133,Cancer,3625.22
213738_s_at,ATP5F1A,GSM398134,Normal,4971.41
213738_s_at,ATP5F1A,GSM398135,Cancer,7057.09
213738_s_at,ATP5F1A,GSM398136,Normal,6226.42
213738_s_at,ATP5F1A,GSM398137,Cancer,6952.71
213738_s_at,ATP5F1A,GSM398138,Normal,5555.0
213738_s_at,ATP5F1A,GSM398139,Cancer,5528.53
213738_s_at,ATP5F1A,GSM398140,Normal,6428.83
213738_s_at,ATP5F1A,GSM398141,Cancer,6658.93
213738_s_at,ATP5F1A,GSM398142,Normal,6357.79
213738_s_at,ATP5F1A,GSM398143,Cancer,5338.15
213738_s_at,ATP5F1A,GSM398144,Normal,6873.35
213738_s_at,ATP5F1A,GSM398145,Cancer,8707.04
213738_s_at,ATP5F1A,GSM398146,Normal,7031.69
213738_s_at,ATP5F1A,GSM398147,Cancer,6205.4
213738_s_at,ATP5F1A,GSM398148,Normal,6686.23
213738_s_at,ATP5F1A,GSM398149,Cancer,6780.59
213738_s_at,ATP5F1A,GSM398150,Normal,8673.69
213738_s_at,ATP5F1A,GSM398151,Cancer,6461.44
213738_s_at,ATP5F1A,GSM398152,Normal,8433.13
213738_s_at,ATP5F1A,GSM398153,Cancer,6438.73
213738_s_at,ATP5F1A,GSM398154,Normal,3228.57
213738_s_at,ATP5F1A,GSM398155,Cancer,4337.81
213738_s_at,ATP5F1A,GSM398156,Normal,8955.22
213738_s_at,ATP5F1A,GSM398157,Cancer,8259.35
213738_s_at,ATP5F1A,GSM398158,Normal,9366.04
213738_s_at,ATP5F1A,GSM398159,Cancer,8089.59
200799_at,HSPA1B,GSM398074,Normal,3372.49
200799_at,HSPA1B,GSM398075,Cancer,3025.62
200799_at,HSPA1B,GSM398076,Normal,2567.94
200799_at,HSPA1B,GSM398077,Cancer,3459.18
200799_at,HSPA1B,GSM398078,Normal,2353.27
200799_at,HSPA1B,GSM398079,Cancer,3843.67
200799_at,HSPA1B,GSM398080,Normal,4787.54
200799_at,HSPA1B,GSM398081,Cancer,2385.93
200799_at,HSPA1B,GSM398082,Normal,2570.37
200799_at,HSPA1B,GSM398083,Cancer,2456.78
200799_at,HSPA1B,GSM398084,Normal,3074.51
200799_at,HSPA1B,GSM398085,Cancer,2631.91
200799_at,HSPA1B,GSM398086,Normal,7015.67
200799_at,HSPA1B,GSM398087,Cancer,4189.1
200799_at,HSPA1B,GSM398088,Normal,1953.69
200799_at,HSPA1B,GSM398089,Cancer,1584.61
200799_at,HSPA1B,GSM398090,Normal,4547.12
200799_at,HSPA1B,GSM398091,Cancer,2552.2
200799_at,HSPA1B,GSM398092,Normal,2177.01
200799_at,HSPA1B,GSM398093,Cancer,4559.23
200799_at,HSPA1B,GSM398094,Normal,2431.92
200799_at,HSPA1B,GSM398095,Cancer,3481.58
200799_at,HSPA1B,GSM398096,Normal,5215.04
200799_at,HSPA1B,GSM398097,Cancer,3071.58
200799_at,HSPA1B,GSM398098,Normal,3044.44
200799_at,HSPA1B,GSM398099,Cancer,1113.78
200799_at,HSPA1B,GSM398100,Normal,2056.37
200799_at,HSPA1B,GSM398101,Cancer,4014.15
200799_at,HSPA1B,GSM398102,Normal,3079.95
200799_at,HSPA1B,GSM398103,Cancer,4231.69
200799_at,HSPA1B,GSM398104,Normal,5500.57
200799_at,HSPA1B,GSM398105,Cancer,2699.03
200799_at,HSPA1B,GSM398106,Normal,8402.71
200799_at,HSPA1B,GSM398107,Cancer,4182.09
200799_at,HSPA1B,GSM398108,Normal,11151.3
200799_at,HSPA1B,GSM398109,Cancer,5034.74
200799_at,HSPA1B,GSM398110,Normal,13439.3
200799_at,HSPA1B,GSM398111,Cancer,2397.16
200799_at,HSPA1B,GSM398112,Normal,3454.64
200799_at,HSPA1B,GSM398113,Cancer,3044.13
200799_at,HSPA1B,GSM398114,Normal,2106.58
200799_at,HSPA1B,GSM398115,Cancer,3111.57
200799_at,HSPA1B,GSM398116,Normal,5497.41
200799_at,HSPA1B,GSM398117,Cancer,3612.37
200799_at,HSPA1B,GSM398118,Normal,5760.67
200799_at,HSPA1B,GSM398119,Cancer,4919.71
200799_at,HSPA1B,GSM398120,Normal,3214.72
200799_at,HSPA1B,GSM398121,Cancer,2974.83
200799_at,HSPA1B,GSM398122,Normal,3177.17
200799_at,HSPA1B,GSM398123,Cancer,2606.53
200799_at,HSPA1B,GSM398124,Normal,6949.44
200799_at,HSPA1B,GSM398125,Cancer,2458.59
200799_at,HSPA1B,GSM398126,Normal,4505.53
200799_at,HSPA1B,GSM398127,Cancer,3489.8
200799_at,HSPA1B,GSM398128,Normal,7028.89
200799_at,HSPA1B,GSM398129,Cancer,5013.94
200799_at,HSPA1B,GSM398130,Normal,3952.19
200799_at,HSPA1B,GSM398131,Cancer,3933.46
200799_at,HSPA1B,GSM398132,Normal,5673.16
200799_at,HSPA1B,GSM398133,Cancer,3536.31
200799_at,HSPA1B,GSM398134,Normal,4445.49
200799_at,HSPA1B,GSM398135,Cancer,4380.45
200799_at,HSPA1B,GSM398136,Normal,3584.33
200799_at,HSPA1B,GSM398137,Cancer,8060.99
200799_at,HSPA1B,GSM398138,Normal,3216.08
200799_at,HSPA1B,GSM398139,Cancer,7626.0
200799_at,HSPA1B,GSM398140,Normal,7930.29
200799_at,HSPA1B,GSM398141,Cancer,6174.75
200799_at,HSPA1B,GSM398142,Normal,7032.35
200799_at,HSPA1B,GSM398143,Cancer,4689.81
200799_at,HSPA1B,GSM398144,Normal,5137.17
200799_at,HSPA1B,GSM398145,Cancer,4445.14
200799_at,HSPA1B,GSM398146,Normal,4901.79
200799_at,HSPA1B,GSM398147,Cancer,5575.91
200799_at,HSPA1B,GSM398148,Normal,8574.99
200799_at,HSPA1B,GSM398149,Cancer,6262.49
200799_at,HSPA1B,GSM398150,Normal,4998.62
200799_at,HSPA1B,GSM398151,Cancer,4565.7
200799_at,HSPA1B,GSM398152,Normal,7930.36
200799_at,HSPA1B,GSM398153,Cancer,4857.54
200799_at,HSPA1B,GSM398154,Normal,2113.79
200799_at,HSPA1B,GSM398155,Cancer,2255.96
200799_at,HSPA1B,GSM398156,Normal,5693.18
200799_at,HSPA1B,GSM398157,Cancer,6268.83
200799_at,HSPA1B,GSM398158,Normal,2625.97
200799_at,HSPA1B,GSM398159,Cancer,2759.69
211720_x_at,RPLP0,GSM398074,Normal,2052.62
211720_x_at,RPLP0,GSM398075,Cancer,6001.61
211720_x_at,RPLP0,GSM398076,Normal,2416.57
211720_x_at,RPLP0,GSM398077,Cancer,4576.94
211720_x_at,RPLP0,GSM398078,Normal,3493.33
211720_x_at,RPLP0,GSM398079,Cancer,3899.74
211720_x_at,RPLP0,GSM398080,Normal,1349.39
211720_x_at,RPLP0,GSM398081,Cancer,2710.11
211720_x_at,RPLP0,GSM398082,Normal,3372.43
211720_x_at,RPLP0,GSM398083,Cancer,2078.71
211720_x_at,RPLP0,GSM398084,Normal,2974.89
211720_x_at,RPLP0,GSM398085,Cancer,3849.11
211720_x_at,RPLP0,GSM398086,Normal,4940.26
211720_x_at,RPLP0,GSM398087,Cancer,3550.75
211720_x_at,RPLP0,GSM398088,Normal,2700.31
211720_x_at,RPLP0,GSM398089,Cancer,5808.76
211720_x_at,RPLP0,GSM398090,Normal,1683.59
211720_x_at,RPLP0,GSM398091,Cancer,5216.28
211720_x_at,RPLP0,GSM398092,Normal,2168.48
211720_x_at,RPLP0,GSM398093,Cancer,5579.87
211720_x_at,RPLP0,GSM398094,Normal,2551.73
211720_x_at,RPLP0,GSM398095,Cancer,4887.4
211720_x_at,RPLP0,GSM398096,Normal,3434.82
211720_x_at,RPLP0,GSM398097,Cancer,1405.49
211720_x_at,RPLP0,GSM398098,Normal,4030.23
211720_x_at,RPLP0,GSM398099,Cancer,2724.65
211720_x_at,RPLP0,GSM398100,Normal,2885.1
211720_x_at,RPLP0,GSM398101,Cancer,4211.23
211720_x_at,RPLP0,GSM398102,Normal,4733.22
211720_x_at,RPLP0,GSM398103,Cancer,3972.32
211720_x_at,RPLP0,GSM398104,Normal,7078.79
211720_x_at,RPLP0,GSM398105,Cancer,2840.28
211720_x_at,RPLP0,GSM398106,Normal,6448.07
211720_x_at,RPLP0,GSM398107,Cancer,3087.48
211720_x_at,RPLP0,GSM398108,Normal,5891.34
211720_x_at,RPLP0,GSM398109,Cancer,2085.86
211720_x_at,RPLP0,GSM398110,Normal,7956.42
211720_x_at,RPLP0,GSM398111,Cancer,4411.5
211720_x_at,RPLP0,GSM398112,Normal,4136.93
211720_x_at,RPLP0,GSM398113,Cancer,5562.85
211720_x_at,RPLP0,GSM398114,Normal,3421.1
211720_x_at,RPLP0,GSM398115,Cancer,4471.81
211720_x_at,RPLP0,GSM398116,Normal,9604.33
211720_x_at,RPLP0,GSM398117,Cancer,7327.73
211720_x_at,RPLP0,GSM398118,Normal,6324.98
211720_x_at,RPLP0,GSM398119,Cancer,7460.18
211720_x_at,RPLP0,GSM398120,Normal,4327.77
211720_x_at,RPLP0,GSM398121,Cancer,3886.34
211720_x_at,RPLP0,GSM398122,Normal,3953.76
211720_x_at,RPLP0,GSM398123,Cancer,4104.9
211720_x_at,RPLP0,GSM398124,Normal,4056.97
211720_x_at,RPLP0,GSM398125,Cancer,7381.91
211720_x_at,RPLP0,GSM398126,Normal,7377.18
211720_x_at,RPLP0,GSM398127,Cancer,10210.7
211720_x_at,RPLP0,GSM398128,Normal,6826.16
211720_x_at,RPLP0,GSM398129,Cancer,7907.73
211720_x_at,RPLP0,GSM398130,Normal,4592.47
211720_x_at,RPLP0,GSM398131,Cancer,8493.55
211720_x_at,RPLP0,GSM398132,Normal,3920.68
211720_x_at,RPLP0,GSM398133,Cancer,4467.03
211720_x_at,RPLP0,GSM398134,Normal,3863.75
211720_x_at,RPLP0,GSM398135,Cancer,8295.18
211720_x_at,RPLP0,GSM398136,Normal,6086.86
211720_x_at,RPLP0,GSM398137,Cancer,9008.1
211720_x_at,RPLP0,GSM398138,Normal,5739.29
211720_x_at,RPLP0,GSM398139,Cancer,6063.37
211720_x_at,RPLP0,GSM398140,Normal,6647.77
211720_x_at,RPLP0,GSM398141,Cancer,7185.83
211720_x_at,RPLP0,GSM398142,Normal,6356.77
211720_x_at,RPLP0,GSM398143,Cancer,7493.22
211720_x_at,RPLP0,GSM398144,Normal,5166.28
211720_x_at,RPLP0,GSM398145,Cancer,7187.03
211720_x_at,RPLP0,GSM398146,Normal,7314.32
211720_x_at,RPLP0,GSM398147,Cancer,9111.21
211720_x_at,RPLP0,GSM398148,Normal,6515.16
211720_x_at,RPLP0,GSM398149,Cancer,8307.08
211720_x_at,RPLP0,GSM398150,Normal,6538.78
211720_x_at,RPLP0,GSM398151,Cancer,7347.22
211720_x_at,RPLP0,GSM398152,Normal,6688.91
211720_x_at,RPLP0,GSM398153,Cancer,4759.78
211720_x_at,RPLP0,GSM398154,Normal,2224.11
211720_x_at,RPLP0,GSM398155,Cancer,5045.91
211720_x_at,RPLP0,GSM398156,Normal,7777.42
211720_x_at,RPLP0,GSM398157,Cancer,7551.81
211720_x_at,RPLP0,GSM398158,Normal,6560.16
211720_x_at,RPLP0,GSM398159,Cancer,7925.73
210427_x_at,ANXA2,GSM398074,Normal,1372.89
210427_x_at,ANXA2,GSM398075,Cancer,2459.89
210427_x_at,ANXA2,GSM398076,Normal,2697.06
210427_x_at,ANXA2,GSM398077,Cancer,2322.74
210427_x_at,ANXA2,GSM398078,Normal,2253.06
210427_x_at,ANXA2,GSM398079,Cancer,2213.61
210427_x_at,ANXA2,GSM398080,Normal,2608.15
210427_x_at,ANXA2,GSM398081,Cancer,2450.78
210427_x_at,ANXA2,GSM398082,Normal,3897.01
210427_x_at,ANXA2,GSM398083,Cancer,1652.41
210427_x_at,ANXA2,GSM398084,Normal,3142.51
210427_x_at,ANXA2,GSM398085,Cancer,1905.1
210427_x_at,ANXA2,GSM398086,Normal,2639.55
210427_x_at,ANXA2,GSM398087,Cancer,3722.2
210427_x_at,ANXA2,GSM398088,Normal,3245.13
210427_x_at,ANXA2,GSM398089,Cancer,3748.29
210427_x_at,ANXA2,GSM398090,Normal,2201.26
210427_x_at,ANXA2,GSM398091,Cancer,1748.71
210427_x_at,ANXA2,GSM398092,Normal,2585.79
210427_x_at,ANXA2,GSM398093,Cancer,1653.97
210427_x_at,ANXA2,GSM398094,Normal,2484.22
210427_x_at,ANXA2,GSM398095,Cancer,2346.0
210427_x_at,ANXA2,GSM398096,Normal,3851.73
210427_x_at,ANXA2,GSM398097,Cancer,2061.54
210427_x_at,ANXA2,GSM398098,Normal,2616.09
210427_x_at,ANXA2,GSM398099,Cancer,1188.46
210427_x_at,ANXA2,GSM398100,Normal,2037.88
210427_x_at,ANXA2,GSM398101,Cancer,2563.36
210427_x_at,ANXA2,GSM398102,Normal,3915.23
210427_x_at,ANXA2,GSM398103,Cancer,2874.9
210427_x_at,ANXA2,GSM398104,Normal,7500.04
210427_x_at,ANXA2,GSM398105,Cancer,3353.76
210427_x_at,ANXA2,GSM398106,Normal,6905.44
210427_x_at,ANXA2,GSM398107,Cancer,3501.98
210427_x_at,ANXA2,GSM398108,Normal,6530.59
210427_x_at,ANXA2,GSM398109,Cancer,2583.38
210427_x_at,ANXA2,GSM398110,Normal,9314.55
210427_x_at,ANXA2,GSM398111,Cancer,2743.78
210427_x_at,ANXA2,GSM398112,Normal,3654.88
210427_x_at,ANXA2,GSM398113,Cancer,2982.89
210427_x_at,ANXA2,GSM398114,Normal,4966.2
210427_x_at,ANXA2,GSM398115,Cancer,3652.92
210427_x_at,ANXA2,GSM398116,Normal,6394.09
210427_x_at,ANXA2,GSM398117,Cancer,6465.02
210427_x_at,ANXA2,GSM398118,Normal,7376.84
210427_x_at,ANXA2,GSM398119,Cancer,6415.45
210427_x_at,ANXA2,GSM398120,Normal,4863.75
210427_x_at,ANXA2,GSM398121,Cancer,2733.4
210427_x_at,ANXA2,GSM398122,Normal,2905.44
210427_x_at,ANXA2,GSM398123,Cancer,1850.46
210427_x_at,ANXA2,GSM398124,Normal,5172.27
210427_x_at,ANXA2,GSM398125,Cancer,4621.76
210427_x_at,ANXA2,GSM398126,Normal,8662.17
210427_x_at,ANXA2,GSM398127,Cancer,8992.93
210427_x_at,ANXA2,GSM398128,Normal,7012.1
210427_x_at,ANXA2,GSM398129,Cancer,4817.27
210427_x_at,ANXA2,GSM398130,Normal,7596.42
210427_x_at,ANXA2,GSM398131,Cancer,4967.49
210427_x_at,ANXA2,GSM398132,Normal,4671.19
210427_x_at,ANXA2,GSM398133,Cancer,5974.63
210427_x_at,ANXA2,GSM398134,Normal,5883.52
210427_x_at,ANXA2,GSM398135,Cancer,5086.97
210427_x_at,ANXA2,GSM398136,Normal,6303.03
210427_x_at,ANXA2,GSM398137,Cancer,5758.12
210427_x_at,ANXA2,GSM398138,Normal,5220.64
210427_x_at,ANXA2,GSM398139,Cancer,3240.17
210427_x_at,ANXA2,GSM398140,Normal,6672.28
210427_x_at,ANXA2,GSM398141,Cancer,1947.46
210427_x_at,ANXA2,GSM398142,Normal,5877.1
210427_x_at,ANXA2,GSM398143,Cancer,4914.3
210427_x_at,ANXA2,GSM398144,Normal,7184.82
210427_x_at,ANXA2,GSM398145,Cancer,5845.85
210427_x_at,ANXA2,GSM398146,Normal,7428.51
210427_x_at,ANXA2,GSM398147,Cancer,5154.37
210427_x_at,ANXA2,GSM398148,Normal,9140.58
210427_x_at,ANXA2,GSM398149,Cancer,4625.9
210427_x_at,ANXA2,GSM398150,Normal,6367.59
210427_x_at,ANXA2,GSM398151,Cancer,4221.17
210427_x_at,ANXA2,GSM398152,Normal,7143.37
210427_x_at,ANXA2,GSM398153,Cancer,5281.01
210427_x_at,ANXA2,GSM398154,Normal,1259.3
210427_x_at,ANXA2,GSM398155,Cancer,1301.09
210427_x_at,ANXA2,GSM398156,Normal,5899.21
210427_x_at,ANXA2,GSM398157,Cancer,3595.25
210427_x_at,ANXA2,GSM398158,Normal,7683.39
210427_x_at,ANXA2,GSM398159,Cancer,6193.53
209134_s_at,RPS6,GSM398074,Normal,3788.94
209134_s_at,RPS6,GSM398075,Cancer,7033.89
209134_s_at,RPS6,GSM398076,Normal,2148.66
209134_s_at,RPS6,GSM398077,Cancer,5008.35
209134_s_at,RPS6,GSM398078,Normal,4955.37
209134_s_at,RPS6,GSM398079,Cancer,4488.41
209134_s_at,RPS6,GSM398080,Normal,2514.01
209134_s_at,RPS6,GSM398081,Cancer,3804.24
209134_s_at,RPS6,GSM398082,Normal,5005.02
209134_s_at,RPS6,GSM398083,Cancer,4035.38
209134_s_at,RPS6,GSM398084,Normal,4078.13
209134_s_at,RPS6,GSM398085,Cancer,4776.28
209134_s_at,RPS6,GSM398086,Normal,5857.47
209134_s_at,RPS6,GSM398087,Cancer,3226.15
209134_s_at,RPS6,GSM398088,Normal,3691.64
209134_s_at,RPS6,GSM398089,Cancer,4478.45
209134_s_at,RPS6,GSM398090,Normal,3855.6
209134_s_at,RPS6,GSM398091,Cancer,6412.89
209134_s_at,RPS6,GSM398092,Normal,2883.87
209134_s_at,RPS6,GSM398093,Cancer,6145.22
209134_s_at,RPS6,GSM398094,Normal,3851.43
209134_s_at,RPS6,GSM398095,Cancer,4197.83
209134_s_at,RPS6,GSM398096,Normal,4401.97
209134_s_at,RPS6,GSM398097,Cancer,1912.29
209134_s_at,RPS6,GSM398098,Normal,3749.66
209134_s_at,RPS6,GSM398099,Cancer,1897.97
209134_s_at,RPS6,GSM398100,Normal,2162.32
209134_s_at,RPS6,GSM398101,Cancer,3294.92
209134_s_at,RPS6,GSM398102,Normal,3880.7
209134_s_at,RPS6,GSM398103,Cancer,3160.99
209134_s_at,RPS6,GSM398104,Normal,5681.36
209134_s_at,RPS6,GSM398105,Cancer,2800.38
209134_s_at,RPS6,GSM398106,Normal,6611.24
209134_s_at,RPS6,GSM398107,Cancer,2139.22
209134_s_at,RPS6,GSM398108,Normal,8065.18
209134_s_at,RPS6,GSM398109,Cancer,2044.59
209134_s_at,RPS6,GSM398110,Normal,8973.14
209134_s_at,RPS6,GSM398111,Cancer,4279.31
209134_s_at,RPS6,GSM398112,Normal,3694.41
209134_s_at,RPS6,GSM398113,Cancer,5505.09
209134_s_at,RPS6,GSM398114,Normal,3162.56
209134_s_at,RPS6,GSM398115,Cancer,4780.7
209134_s_at,RPS6,GSM398116,Normal,10559.0
209134_s_at,RPS6,GSM398117,Cancer,8560.85
209134_s_at,RPS6,GSM398118,Normal,7092.63
209134_s_at,RPS6,GSM398119,Cancer,6454.28
209134_s_at,RPS6,GSM398120,Normal,4799.22
209134_s_at,RPS6,GSM398121,Cancer,5605.91
209134_s_at,RPS6,GSM398122,Normal,5044.61
209134_s_at,RPS6,GSM398123,Cancer,3928.59
209134_s_at,RPS6,GSM398124,Normal,4506.1
209134_s_at,RPS6,GSM398125,Cancer,7707.06
209134_s_at,RPS6,GSM398126,Normal,8092.94
209134_s_at,RPS6,GSM398127,Cancer,9721.3
209134_s_at,RPS6,GSM398128,Normal,7922.79
209134_s_at,RPS6,GSM398129,Cancer,5875.05
209134_s_at,RPS6,GSM398130,Normal,7285.81
209134_s_at,RPS6,GSM398131,Cancer,8697.8
209134_s_at,RPS6,GSM398132,Normal,8083.25
209134_s_at,RPS6,GSM398133,Cancer,7688.06
209134_s_at,RPS6,GSM398134,Normal,4012.41
209134_s_at,RPS6,GSM398135,Cancer,8259.71
209134_s_at,RPS6,GSM398136,Normal,4370.35
209134_s_at,RPS6,GSM398137,Cancer,8541.11
209134_s_at,RPS6,GSM398138,Normal,5497.52
209134_s_at,RPS6,GSM398139,Cancer,4143.89
209134_s_at,RPS6,GSM398140,Normal,7274.83
209134_s_at,RPS6,GSM398141,Cancer,8232.53
209134_s_at,RPS6,GSM398142,Normal,7072.0
209134_s_at,RPS6,GSM398143,Cancer,8139.02
209134_s_at,RPS6,GSM398144,Normal,6426.56
209134_s_at,RPS6,GSM398145,Cancer,7875.68
209134_s_at,RPS6,GSM398146,Normal,7962.0
209134_s_at,RPS6,GSM398147,Cancer,8268.7
209134_s_at,RPS6,GSM398148,Normal,5593.24
209134_s_at,RPS6,GSM398149,Cancer,7183.28
209134_s_at,RPS6,GSM398150,Normal,8229.55
209134_s_at,RPS6,GSM398151,Cancer,7944.49
209134_s_at,RPS6,GSM398152,Normal,4946.67
209134_s_at,RPS6,GSM398153,Cancer,4992.1
209134_s_at,RPS6,GSM398154,Normal,1778.37
209134_s_at,RPS6,GSM398155,Cancer,3686.4
209134_s_at,RPS6,GSM398156,Normal,7406.7
209134_s_at,RPS6,GSM398157,Cancer,5735.8
209134_s_at,RPS6,GSM398158,Normal,6748.44
209134_s_at,RPS6,GSM398159,Cancer,4221.07
211710_x_at,RPL4,GSM398074,Normal,2203.78
211710_x_at,RPL4,GSM398075,Cancer,5690.58
211710_x_at,RPL4,GSM398076,Normal,1623.88
211710_x_at,RPL4,GSM398077,Cancer,2452.14
211710_x_at,RPL4,GSM398078,Normal,3092.99
211710_x_at,RPL4,GSM398079,Cancer,1881.43
211710_x_at,RPL4,GSM398080,Normal,2296.48
211710_x_at,RPL4,GSM398081,Cancer,2877.93
211710_x_at,RPL4,GSM398082,Normal,4025.83
211710_x_at,RPL4,GSM398083,Cancer,1847.93
211710_x_at,RPL4,GSM398084,Normal,2949.85
211710_x_at,RPL4,GSM398085,Cancer,3453.21
211710_x_at,RPL4,GSM398086,Normal,4214.62
211710_x_at,RPL4,GSM398087,Cancer,3509.05
211710_x_at,RPL4,GSM398088,Normal,2972.71
211710_x_at,RPL4,GSM398089,Cancer,5160.76
211710_x_at,RPL4,GSM398090,Normal,1642.24
211710_x_at,RPL4,GSM398091,Cancer,4342.92
211710_x_at,RPL4,GSM398092,Normal,2918.96
211710_x_at,RPL4,GSM398093,Cancer,3040.24
211710_x_at,RPL4,GSM398094,Normal,2745.12
211710_x_at,RPL4,GSM398095,Cancer,3921.13
211710_x_at,RPL4,GSM398096,Normal,3459.98
211710_x_at,RPL4,GSM398097,Cancer,1557.85
211710_x_at,RPL4,GSM398098,Normal,2719.78
211710_x_at,RPL4,GSM398099,Cancer,1489.42
211710_x_at,RPL4,GSM398100,Normal,2468.56
211710_x_at,RPL4,GSM398101,Cancer,2913.52
211710_x_at,RPL4,GSM398102,Normal,3476.2
211710_x_at,RPL4,GSM398103,Cancer,2685.62
211710_x_at,RPL4,GSM398104,Normal,6500.8
211710_x_at,RPL4,GSM398105,Cancer,2033.33
211710_x_at,RPL4,GSM398106,Normal,5796.55
211710_x_at,RPL4,GSM398107,Cancer,1880.23
211710_x_at,RPL4,GSM398108,Normal,6140.09
211710_x_at,RPL4,GSM398109,Cancer,1546.49
211710_x_at,RPL4,GSM398110,Normal,7004.28
211710_x_at,RPL4,GSM398111,Cancer,3173.08
