Gene,Gene_Symbol,Sample,Sample_Type,Expression
209116_x_at,HBB,GSM398093,Cancer,78.2108
209116_x_at,HBB,GSM398094,Normal,1478.76
209116_x_at,HBB,GSM398095,Cancer,63.885
209116_x_at,HBB,GSM398096,Normal,1387.94
209116_x_at,HBB,GSM398097,Cancer,63.9655
209116_x_at,HBB,GSM398098,Normal,118.376
209116_x_at,HBB,GSM398099,Cancer,70.4197
209116_x_at,HBB,GSM398100,Normal,891.867
209116_x_at,HBB,GSM398101,Cancer,63.4965
209116_x_at,HBB,GSM398102,Normal,9712.33
209116_x_at,HBB,GSM398103,Cancer,1559.1
209116_x_at,HBB,GSM398104,Normal,12395.3
209116_x_at,HBB,GSM398105,Cancer,818.671
209116_x_at,HBB,GSM398106,Normal,7555.71
209116_x_at,HBB,GSM398107,Cancer,877.209
209116_x_at,HBB,GSM398108,Normal,9643.53
209116_x_at,HBB,GSM398109,Cancer,987.806
209116_x_at,HBB,GSM398110,Normal,10842.1
209116_x_at,HBB,GSM398111,Cancer,105.851
209116_x_at,HBB,GSM398112,Normal,1355.35
209116_x_at,HBB,GSM398113,Cancer,327.047
209116_x_at,HBB,GSM398114,Normal,2933.47
209116_x_at,HBB,GSM398115,Cancer,2314.62
209116_x_at,HBB,GSM398116,Normal,3051.85
209116_x_at,HBB,GSM398117,Cancer,245.566
209116_x_at,HBB,GSM398118,Normal,11731.2
209116_x_at,HBB,GSM398119,Cancer,8950.92
209116_x_at,HBB,GSM398120,Normal,3387.36
209116_x_at,HBB,GSM398121,Cancer,1045.94
209116_x_at,HBB,GSM398122,Normal,651.008
209116_x_at,HBB,GSM398123,Cancer,97.2692
209116_x_at,HBB,GSM398124,Normal,3964.54
209116_x_at,HBB,GSM398125,Cancer,181.552
209116_x_at,HBB,GSM398126,Normal,7560.2
209116_x_at,HBB,GSM398127,Cancer,63.4213
209116_x_at,HBB,GSM398128,Normal,10114.3
209116_x_at,HBB,GSM398129,Cancer,146.461
209116_x_at,HBB,GSM398130,Normal,11688.8
209116_x_at,HBB,GSM398131,Cancer,95.5954
209116_x_at,HBB,GSM398132,Normal,8083.52
209116_x_at,HBB,GSM398133,Cancer,144.709
209116_x_at,HBB,GSM398134,Normal,6008.58
209116_x_at,HBB,GSM398135,Cancer,1988.29
209116_x_at,HBB,GSM398136,Normal,7905.75
209116_x_at,HBB,GSM398137,Cancer,695.805
209116_x_at,HBB,GSM398138,Normal,7292.93
209116_x_at,HBB,GSM398139,Cancer,2643.14
209116_x_at,HBB,GSM398140,Normal,10602.2
209116_x_at,HBB,GSM398141,Cancer,1035.77
209116_x_at,HBB,GSM398142,Normal,11980.4
209116_x_at,HBB,GSM398143,Cancer,983.541
209116_x_at,HBB,GSM398144,Normal,12266.9
209116_x_at,HBB,GSM398145,Cancer,742.988
209116_x_at,HBB,GSM398146,Normal,12120.7
209116_x_at,HBB,GSM398147,Cancer,7881.99
209116_x_at,HBB,GSM398148,Normal,9606.22
209116_x_at,HBB,GSM398149,Cancer,1232.81
209116_x_at,HBB,GSM398150,Normal,5700.71
209116_x_at,HBB,GSM398151,Cancer,784.996
209116_x_at,HBB,GSM398152,Normal,6742.35
209116_x_at,HBB,GSM398153,Cancer,2151.12
209116_x_at,HBB,GSM398154,Normal,6389.76
209116_x_at,HBB,GSM398155,Cancer,821.989
209116_x_at,HBB,GSM398156,Normal,6144.36
209116_x_at,HBB,GSM398157,Cancer,650.047
209116_x_at,HBB,GSM398158,Normal,5943.6
209116_x_at,HBB,GSM398159,Cancer,4275.1
203980_at,FABP4,GSM398074,Normal,1878.98
203980_at,FABP4,GSM398075,Cancer,2625.71
203980_at,FABP4,GSM398076,Normal,3632.16
203980_at,FABP4,GSM398077,Cancer,302.413
203980_at,FABP4,GSM398078,Normal,5686.15
203980_at,FABP4,GSM398079,Cancer,430.878
203980_at,FABP4,GSM398080,Normal,5715.87
203980_at,FABP4,GSM398081,Cancer,5119.97
203980_at,FABP4,GSM398082,Normal,7555.87
203980_at,FABP4,GSM398083,Cancer,5391.53
203980_at,FABP4,GSM398084,Normal,5681.13
203980_at,FABP4,GSM398085,Cancer,1406.75
203980_at,FABP4,GSM398086,Normal,2283.95
203980_at,FABP4,GSM398087,Cancer,354.898
203980_at,FABP4,GSM398088,Normal,5225.19
203980_at,FABP4,GSM398089,Cancer,342.296
203980_at,FABP4,GSM398090,Normal,4943.22
203980_at,FABP4,GSM398091,Cancer,1466.05
203980_at,FABP4,GSM398092,Normal,4592.25
203980_at,FABP4,GSM398093,Cancer,1359.25
203980_at,FABP4,GSM398094,Normal,6901.45
203980_at,FABP4,GSM398095,Cancer,694.793
203980_at,FABP4,GSM398096,Normal,4818.89
203980_at,FABP4,GSM398097,Cancer,583.504
