date,Midwest,National,Northeast,South,West
2022-01-01,16.533606650637000,16.644375096603300,30.645384205179000,15.243553185027600,16.211981722267600
2022-01-08,19.779722142369800,24.577488389929300,34.42536625703510,25.06350251123300,33.97561790114370
2022-01-15,18.160396747833100,23.55965095341610,38.1084380146362,23.787354650306900,29.448058565809600
2022-01-22,17.545114890629200,19.98776166649280,26.08496495975690,18.15553080807570,31.831601168237600
2022-01-29,12.418798565070900,15.15026436686940,16.30226069853980,15.201788970263900,20.953808199892400
2022-02-05,8.721422218514390,9.81283880642772,11.673166531191000,8.529213229032590,12.55562343098520
2022-02-12,5.7846107004074000,6.28002533252635,8.5479627684504,5.933212316561880,6.75957094196384
2022-02-19,4.420881119691300,4.105413564823400,5.152754148302270,4.28362228616389,3.6657115375938700
2022-02-26,2.9845477926430300,2.831966089965470,4.021207173864210,2.432822764033500,2.332215236615100
2022-03-05,2.0605207325160500,1.9157035527660600,2.413702840741710,1.6301895891011300,1.4781247510740400
2022-03-12,1.8335771573444600,1.5539488932890100,1.747767082500130,1.2891212226567700,1.064695016415960
2022-03-19,1.446267770281050,1.2713736289160200,1.4099090997192000,1.1027786395207300,0.9187934555087460
2022-03-26,1.6517732138703200,1.3893266053570700,4.104619783327510,1.0344696619136400,0.9609799337490300
2022-04-02,1.3052700843217400,1.3118951963252400,4.939011248447380,1.1588932252200100,1.1422691237793400
2022-04-09,1.6198285997808200,1.7019990093224300,7.310078713769640,1.5033818189797000,1.3146254752238000
2022-04-16,2.3513437992634100,2.2119453473863700,6.556068283727920,1.9421220119179700,1.8736745370799300
2022-04-23,3.1453724605863000,3.357171371270400,9.778187654210280,3.0815847277097000,2.87647503966559
2022-04-30,4.492888737172490,4.071381382852220,10.672541604978000,3.511009799033610,2.562351328846510
2022-05-07,5.824242808320210,5.196701121491730,11.056496052692700,4.08681252941167,3.9965231960621900
2022-05-14,6.94237449009327,6.235851508131960,7.400332285648680,5.227360886386040,5.1900035691537800
2022-05-21,7.484609323333300,7.13577973360359,9.588793731096260,6.762824179401900,6.028034045618580
2022-05-28,8.345847275588840,7.885781195560160,7.108935382268130,7.107723002125350,8.385481946923380
2022-06-04,7.751127617691380,7.818011507808650,5.043726601960250,7.635351830640890,9.670608744704530
2022-06-11,7.391192559362090,7.221478955956220,3.2964179519067500,6.491179048613780,9.760349490568650
2022-06-18,7.477266585730420,7.234257611466490,5.427559094857080,5.937852253161640,9.288030797240830
2022-06-25,7.7655578745382600,7.710759707709650,3.329326549761060,6.453847714779450,10.942269355420400
2022-07-02,8.12650277914981,8.277402725084240,4.772699890878290,6.543192610615810,12.013337921998300
2022-07-09,11.00783025400870,10.00628339449090,6.318426370527140,8.435725099908790,12.23410047539140
2022-07-16,9.895579851893690,9.637806769280510,6.952382518868020,9.340682452069310,10.940858765439800
2022-07-23,10.840292421084800,10.443564174924500,7.687978436425870,9.587256169420960,11.104517758356100
2022-07-30,11.482237538212100,9.398406419449370,5.982393867216360,8.760305257774310,9.232232530399830
2022-08-06,11.04995769753180,8.500051500699040,5.898227963391820,8.490943309434010,7.18386142415121
2022-08-13,10.521337953641700,7.568210742819680,7.29895597024209,7.140479316670040,6.279986660775670
2022-08-20,9.555906449235750,7.109053921049240,6.047404594963000,6.469681781450590,5.565831964788910
2022-08-27,8.712720307567180,6.877572275725090,6.877308713388090,6.577060806880940,5.426172449622410
2022-09-03,7.023137075940880,6.062683226901880,6.213135067685150,6.433250066351480,4.860854895001330
2022-09-10,7.032504783019610,5.844422978758740,6.776740328344260,5.994529192922180,4.4591509363349900
2022-09-17,6.3322458223110500,5.361023572752670,8.61041251477063,4.893206303607130,4.513834674816770
2022-09-24,4.966132818393830,5.00338406607061,5.876871778606240,4.787947578172060,4.956436009892430
2022-10-01,4.23998839927635,3.9382362108917600,7.785447934135960,2.525395755531160,4.090071055157300
2022-10-08,4.647848045083860,3.7204711379236900,5.433740249627270,2.180107573683110,3.7220181964983200
2022-10-15,4.3743710250901800,3.6102432275156300,6.992164513516280,2.2006493380563800,3.3122573909347700
2022-10-22,4.893145654959770,3.62324574388336,4.774335120362650,2.313807423541170,3.3549044645046300
2022-10-29,5.624348084916450,4.196567908445420,5.61070040759163,2.7498733268599400,3.8458698132201200
2022-11-05,6.025866544276320,4.223222532353080,4.26211239517761,2.6006038919502700,4.675766258616180
2022-11-12,5.598328404075240,4.383632020744510,3.3348366978723500,2.3833176605016900,5.407517915548210
2022-11-19,6.018268586637920,4.963330245709770,4.576074892313150,2.715414083868490,6.901697777711660
2022-11-26,7.834970318987540,5.597613460938800,4.2906939268299000,3.3210420307979500,8.223969397035240
2022-12-03,10.748699645864100,9.17217747419739,7.701962002292060,6.784881650943350,11.208525270844800
2022-12-10,10.30124427997190,8.8696876136351,9.083552224797040,6.265211690969750,10.290206903885800
2022-12-17,11.864596631281200,9.496322111671300,9.636746554423610,7.766029241193430,9.154845356596200
2022-12-24,10.914777270789800,9.852500735032100,9.680912271662210,9.883762980678030,9.071282833267790
2022-12-31,11.819240761831500,11.245000665225200,12.14802788477120,13.035106663563900,8.864100183991300
2023-01-07,7.701291713553920,8.595276786986060,8.748768154351990,10.834345842770300,7.982132341362150
2023-01-14,5.912646754917780,6.280237144292670,6.72302259946617,7.472107270649530,5.542498200837530
2023-01-21,5.761158286385270,5.996666754809010,7.049885782735590,6.7402757928473600,4.917952765175230
2023-01-28,6.3592075907245100,6.202476653738070,7.909325281733160,6.757663182912430,4.595980621890240
2023-02-04,6.088989482002670,6.455857230718730,6.947569937228350,6.945136333368450,6.143853288697470
2023-02-11,6.720878275888460,6.562069026306720,5.094678765975320,6.809132080132640,6.6829029788740800
2023-02-18,7.550409684848220,6.745822553458490,6.480162318984860,5.40688035966031,7.157369434275360
2023-02-25,7.0786696917454500,6.263045209402130,6.396352047710510,4.132223926809370,7.117143544807380
2023-03-04,6.528556054103990,5.4479896876702400,4.406813858381570,3.902051784699720,6.173102381765470
2023-03-11,6.443957428950540,4.645695135583430,2.846808805582130,2.9671318083930800,5.990690666687160
2023-03-18,6.287580825602310,5.042628754156640,4.020894935737270,3.1216256905013400,6.08814123318883
2023-03-25,5.7176677892009000,4.692788995693900,3.4694157792008200,3.7757904571912400,5.340279003255910
2023-04-01,4.445233920894450,3.716578544196170,1.9349316763144000,3.0926250178716300,4.439728290771790
2023-04-08,4.345733077955210,3.064062367216340,1.6497755617928700,2.369777657160120,3.491572352124300
2023-04-15,3.6303935631416700,3.0089695358688400,1.7597235670987200,2.2781061449144700,3.465047884085020
2023-04-22,3.325605688117290,2.2709523917797500,1.215219607073100,1.8067330071554600,2.769717988977100
2023-04-29,2.3957527969307700,2.01464737976711,1.3235228365955300,1.7509275580989500,2.298358229593490
2023-05-06,2.410349143623640,2.171263572875480,1.7120404164524300,1.958525805971860,2.546883271693000
2023-05-13,2.425544359098030,2.033564999676790,1.3582870859842400,1.7843054090078700,2.2519440700723000
2023-05-20,2.029372929619120,1.7406751577843300,1.2074327556235400,1.6591668794480300,2.2759048601256400
2023-05-27,1.8511887716694300,1.5760421380631400,1.173580358477770,1.4699569100151400,1.719939801243670
2023-06-03,1.4376801271534800,1.3815651397695400,1.042834000694510,1.4857761504605100,1.5749166580869700
2023-06-10,1.1585956982068300,1.2089405122819400,1.0295553330025200,1.350520110843510,1.4748175700994600
2023-06-17,1.2942660950744400,1.218454989566460,1.115189026136200,1.2951715939872300,1.3006988206387100
2023-06-24,1.1415510686346600,1.2914151166541500,1.0985694816487400,1.4079946020630400,1.6933612306902700
2023-07-01,1.2523947979821600,1.4501569098773000,1.1985099421916500,1.7412173790429400,1.840153540668810
2023-07-08,1.4948712083698500,1.7761729649695000,1.5207842513359800,2.0511863844976900,2.0250690886697600
2023-07-15,1.5933724376747700,1.9829450186113900,1.9335221038948300,2.126542258168840,2.6488764282299000
