release_year,genre,region,sales
2000,Fighting,North America,9.69
2000,Misc,North America,7.14
2000,Platform,North America,7.87
2000,Puzzle,North America,1.73
2000,Racing,North America,11.0
2000,Role-Playing,North America,7.2
2000,Shooter,North America,4.0
2000,Simulation,North America,1.11
2000,Sports,North America,22.75
2000,Strategy,North America,3.21
2001,Action,North America,29.810000000000002
2001,Adventure,North America,3.92
2001,Fighting,North America,9.19
2001,Misc,North America,9.959999999999999
2001,Platform,North America,21.61
2001,Puzzle,North America,5.22
2001,Racing,North America,29.4
2001,Role-Playing,North America,7.46
2001,Shooter,North America,15.11
2001,Simulation,North America,10.3
2001,Sports,North America,28.8
2001,Strategy,North America,3.1999999999999997
2002,Action,North America,47.81
2002,Adventure,North America,4.72
2002,Fighting,North America,14.0
2002,Misc,North America,8.49
2002,Platform,North America,26.73
2002,Puzzle,North America,3.41
2002,Racing,North America,18.49
2002,Role-Playing,North America,20.43
2002,Shooter,North America,28.69
2002,Simulation,North America,6.01
2002,Sports,North America,35.17
2002,Strategy,North America,2.2399999999999998
2003,Action,North America,37.74
2003,Adventure,North America,0.96
2003,Fighting,North America,13.32
2003,Misc,North America,10.71
2003,Platform,North America,25.31
2003,Puzzle,North America,0.93
2003,Racing,North America,27.65
2003,Role-Playing,North America,13.799999999999999
2003,Shooter,North America,16.13
2003,Simulation,North America,12.06
2003,Sports,North America,31.45
2003,Strategy,North America,3.55
2004,Action,North America,39.08
2004,Adventure,North America,4.95
2004,Fighting,North America,9.94
2004,Misc,North America,17.15
2004,Platform,North America,26.28
2004,Puzzle,North America,3.83
2004,Racing,North America,22.189999999999998
2004,Role-Playing,North America,21.56
2004,Shooter,North America,30.34
2004,Simulation,North America,5.74
2004,Sports,North America,38.52
2004,Strategy,North America,2.93
2005,Action,North America,49.6
2005,Adventure,North America,5.05
2005,Fighting,North America,10.32
2005,Misc,North America,26.76
2005,Platform,North America,15.5
2005,Puzzle,North America,6.54
2005,Racing,North America,30.650000000000002
2005,Role-Playing,North America,12.22
2005,Shooter,North America,27.830000000000002
2005,Simulation,North America,19.16
2005,Sports,North America,36.06
2005,Strategy,North America,2.46
2006,Action,North America,38.27
2006,Adventure,North America,5.11
2006,Fighting,North America,12.44
2006,Misc,North America,25.900000000000002
2006,Platform,North America,23.11
2006,Puzzle,North America,4.37
2006,Racing,North America,20.25
2006,Role-Playing,North America,24.22
2006,Shooter,North America,23.02
2006,Simulation,North America,10.6
2006,Sports,North America,72.78
2006,Strategy,North America,2.06
2007,Action,North America,58.43
2007,Adventure,North America,12.89
2007,Fighting,North America,7.26
2007,Misc,North America,47.55
2007,Platform,North America,18.81
2007,Puzzle,North America,9.91
2007,Racing,North America,18.39
2007,Role-Playing,North America,19.6
2007,Shooter,North America,38.85
2007,Simulation,North America,26.830000000000002
2007,Sports,North America,47.59
2007,Strategy,North America,3.7800000000000002
2008,Action,North America,72.02
2008,Adventure,North America,12.83
2008,Fighting,North America,18.05
2008,Misc,North America,47.21
2008,Platform,North America,17.4
2008,Puzzle,North America,8.02
2008,Racing,North America,33.25
2008,Role-Playing,North America,24.98
2008,Shooter,North America,34.89
2008,Simulation,North America,26.62
2008,Sports,North America,48.61
2008,Strategy,North America,4.81
2009,Action,North America,71.08
2009,Adventure,North America,9.85
2009,Fighting,North America,17.51
2009,Misc,North America,40.6
2009,Platform,North America,20.03
2009,Puzzle,North America,11.09
2009,Racing,North America,14.93
2009,Role-Playing,North America,18.78
2009,Shooter,North America,38.9
2009,Simulation,North America,17.35
2009,Sports,North America,70.85
2009,Strategy,North America,4.58
2010,Action,North America,59.72
2010,Adventure,North America,6.08
2010,Fighting,North America,7.42
2010,Misc,North America,54.11
2010,Platform,North America,16.62
2010,Puzzle,North America,6.36
2010,Racing,North America,14.13
2010,Role-Playing,North America,28.27
2010,Shooter,North America,43.04
2010,Simulation,North America,11.02
2010,Sports,North America,48.11
2010,Strategy,North America,5.77
2011,Action,North America,53.08
2011,Adventure,North America,5.84
2011,Fighting,North America,11.84
2011,Misc,North America,31.5
2011,Platform,North America,12.9
2011,Puzzle,North America,1.61
2011,Racing,North America,14.76
2011,Role-Playing,North America,19.78
2011,Shooter,North America,49.66
2011,Simulation,North America,7.4
2011,Sports,North America,27.17
2011,Strategy,North America,3.25
2012,Action,North America,51.79
2012,Adventure,North America,1.78
2012,Fighting,North America,4.24
2012,Misc,North America,10.7
2012,Platform,North America,7.24
2012,Puzzle,North America,0.3
2012,Racing,North America,4.26
2012,Role-Playing,North America,17.6
2012,Shooter,North America,35.03
2012,Simulation,North America,3.11
2012,Sports,North America,16.259999999999998
2012,Strategy,North America,0.95
2013,Action,North America,53.52
2013,Adventure,North America,1.5
2013,Fighting,North America,3.12
2013,Misc,North America,12.44
2013,Platform,North America,11.35
2013,Puzzle,North America,0.18
2013,Racing,North America,4.22
2013,Role-Playing,North America,12.93
2013,Shooter,North America,30.72
