genre,sales
Action,1717.6299999999999
Sports,1310.39
Shooter,1041.83
Role-Playing,930.9
Platform,825.86
Misc,790.94
Racing,723.7
Fighting,442.63
Simulation,388.4
Puzzle,240.33
Adventure,233.46
Strategy,172.85
